pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
11	Een bruine hond valt een ander dier aan voor de man in een broek	Een bruine hond helpt een ander dier voor de man in een broek	NEUTRAL	3.665	A_neutral_B	B_neutral_A	A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	FLICKR	FLICKR	TEST
12	Twee honden zijn aan het vechten	Twee honden zijn aan het worstelen en knuffelen	NEUTRAL	4	A_neutral_B	B_neutral_A	Two dogs are fighting	Two dogs are wrestling and hugging	FLICKR	FLICKR	TRAIN
13	Twee honden zijn aan het worstelen en knuffelen	Er is geen hond aan het worstelen en knuffelen	CONTRADICTION	3.3	A_contradicts_B	B_contradicts_A	Two dogs are wrestling and hugging	There is no dog wrestling and hugging	FLICKR	FLICKR	TEST
14	Een bruine hond valt een ander dier aan voor de man in een broek	Twee honden zijn aan het vechten	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	FLICKR	FLICKR	TRAIN
15	Een bruine hond valt een ander dier aan voor de man in een broek	Er is geen hond aan het worstelen en knuffelen	NEUTRAL	2.7	A_neutral_B	B_neutral_A	A brown dog is attacking another animal in front of the man in pants	There is no dog wrestling and hugging	FLICKR	FLICKR	TEST
16	Twee honden zijn aan het worstelen en knuffelen	Een bruine hond valt een ander dier aan voor de lange man in een broek	NEUTRAL	2.9	A_neutral_B	B_neutral_A	Two dogs are wrestling and hugging	A brown dog is attacking another animal in front of the tall man in pants	FLICKR	FLICKR	TEST
17	Twee honden zijn aan het worstelen en knuffelen	Een bruine hond helpt een ander dier voor de man in een broek	NEUTRAL	2.3	A_neutral_B	B_neutral_A	Two dogs are wrestling and hugging	A brown dog is helping another animal in front of the man in pants	FLICKR	FLICKR	TEST
18	Een bruine hond valt een ander dier aan voor de man in een broek	Twee honden zijn aan het worstelen en knuffelen	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging	FLICKR	FLICKR	TRAIN
19	Iemand in een zwart jasje doet trucjes op een motor	Een man in een zwart jasje doet trucjes op een motor	ENTAILMENT	4.9	A_entails_B	B_entails_A	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	FLICKR	FLICKR	TEST
20	Er is geen man in een zwart jasje die trucjes doet op een motor	Iemand in een zwart jasje doet trucjes op een motor	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike	FLICKR	FLICKR	TEST
21	Iemand in een zwart jasje doet trucjes op een motor	Een persoon op een zwarte motor doet trucjes met een jasje	NEUTRAL	3	A_neutral_B	B_neutral_A	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	FLICKR	FLICKR	TEST
22	Een ervaren persoon rijdt op een fiets op één wiel	Een persoon rijdt op de fiets op één wiel	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel	FLICKR	FLICKR	TEST
23	Niemand rijdt op de fiets op één wiel	Een persoon rijdt op de fiets op één wiel	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	FLICKR	FLICKR	TEST
24	Iemand in een zwart jasje doet trucjes op een motor	Een ervaren persoon rijdt op een fiets op één wiel	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A person in a black jacket is doing tricks on a motorbike	A skilled person is riding a bicycle on one wheel	FLICKR	FLICKR	TRIAL
25	Niemand rijdt op de fiets op één wiel	Iemand in een zwart jasje doet trucjes op een motor	NEUTRAL	2.8	A_contradicts_B	B_neutral_A	Nobody is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	FLICKR	FLICKR	TRAIN
26	Een persoon rijdt op de fiets op één wiel	Een man in een zwart jasje doet trucjes op een motor	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	FLICKR	FLICKR	TRAIN
27	Een persoon rijdt op de fiets op één wiel	Er is geen man in een zwart jasje die trucjes doet op een motor	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A person is riding the bicycle on one wheel	There is no man in a black jacket doing tricks on a motorbike	FLICKR	FLICKR	TEST
28	Een persoon op een zwarte motor doet trucjes met een jasje	Een persoon rijdt op de fiets op één wiel	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A person on a black motorbike is doing tricks with a jacket	A person is riding the bicycle on one wheel	FLICKR	FLICKR	TRAIN
29	Een persoon rijdt op de fiets op één wiel	Iemand in een zwart jasje doet trucjes op een motor	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A person is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	FLICKR	FLICKR	TEST
30	Een man met een trui is de bal aan het dunken bij een basketbalwedstrijd	De bal wordt gedunkt door een man met een trui bij een basketbalwedstrijd	ENTAILMENT	4.9	A_entails_B	B_entails_A	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	FLICKR	FLICKR	TRAIN
31	Een man met een trui is de bal aan het dunken bij een basketbalwedstrijd	Er is geen man die de bal dunkt bij een basketbalwedstrijd	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	FLICKR	FLICKR	TEST
32	Het basketbalspel bestaat uit een bal die wordt gedunkt door een man met een trui	Een man met een trui is de bal aan het dunken bij een basketbalwedstrijd	ENTAILMENT	4.2	A_entails_B	B_entails_A	The game of basketball consists of a ball being dunked by a man with a jersey	A man with a jersey is dunking the ball at a basketball game	FLICKR	FLICKR	TEST
33	Een man die speelt, dunkt de basketbal in het net en het publiek is op de achtergrond	De speler is de basketbal in het net aan het dunken en er is een menigte op de achtergrond	ENTAILMENT	4.7	A_entails_B	B_entails_A	A man who is playing dunks the basketball into the net and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	FLICKR	FLICKR	TEST
34	De speler mist de basket en er is een menigte op de achtergrond	De speler is de basketbal in het net aan het dunken en er is een menigte op de achtergrond	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	The player is missing the basket and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	FLICKR	FLICKR	TEST
35	Een man met een trui is de bal aan het dunken bij een basketbalwedstrijd	Een man die speelt, dunkt de basketbal in het net en het publiek is op de achtergrond	NEUTRAL	3.6	A_neutral_B	B_neutral_A	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	FLICKR	FLICKR	TRAIN
36	Een man met een trui is de bal aan het dunken bij een basketbalwedstrijd	De speler mist de basket en er is een menigte op de achtergrond	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A man with a jersey is dunking the ball at a basketball game	The player is missing the basket and a crowd is in background	FLICKR	FLICKR	TEST
37	De speler is de basketbal in het net aan het dunken en er is een menigte op de achtergrond	De bal wordt gedunkt door een man met een trui bij een basketbalwedstrijd	NEUTRAL	4	A_neutral_B	B_neutral_A	The player is dunking the basketball into the net and a crowd is in background	The ball is being dunked by a man with a jersey at a basketball game	FLICKR	FLICKR	TEST
38	Er is geen man die de bal dunkt bij een basketbalwedstrijd	De speler is de basketbal in het net aan het dunken en er is een menigte op de achtergrond	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	There is no man dunking the ball at a basketball game	The player is dunking the basketball into the net and a crowd is in background	FLICKR	FLICKR	TEST
39	Het basketbalspel bestaat uit een bal die wordt gedunkt door een man met een trui	De speler is de basketbal in het net aan het dunken en er is een menigte op de achtergrond	NEUTRAL	3.6	A_neutral_B	B_neutral_A	The game of basketball consists of a ball being dunked by a man with a jersey	The player is dunking the basketball into the net and a crowd is in background	FLICKR	FLICKR	TEST
40	De speler is de basketbal in het net aan het dunken en er is een menigte op de achtergrond	Een man met een trui is de bal aan het dunken bij een basketbalwedstrijd	NEUTRAL	3.8	A_neutral_B	B_neutral_A	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	FLICKR	FLICKR	TRAIN
41	Twee mensen zijn aan het kickboksen en toeschouwers kijken toe	Twee mensen zijn aan het vechten en toeschouwers kijken toe	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	FLICKR	FLICKR	TEST
42	Twee mensen zijn aan het kickboksen en toeschouwers kijken niet	Twee mensen zijn aan het kickboksen en toeschouwers kijken toe	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	FLICKR	FLICKR	TRAIN
43	Twee toeschouwers zijn aan het kickboksen en sommige mensen kijken toe	Twee mensen zijn aan het kickboksen en toeschouwers kijken toe	NEUTRAL	4	A_neutral_B	B_neutral_A	Two spectators are kickboxing and some people are watching	Two people are kickboxing and spectators are watching	FLICKR	FLICKR	TEST
44	Twee jonge vrouwen zijn aan het sparren in een kickboksgevecht	Twee vrouwen zijn aan het sparren in een kickbokswedstrijd	ENTAILMENT	4.9	A_entails_B	B_entails_A	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	FLICKR	FLICKR	TRAIN
45	Twee jonge vrouwen zijn niet aan het sparren in een kickboksgevecht	Twee vrouwen zijn aan het sparren in een kickbokswedstrijd	NEUTRAL	3.9	A_contradicts_B	B_neutral_A	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	FLICKR	FLICKR	TRAIN
46	Twee mensen zijn aan het kickboksen en toeschouwers kijken toe	Twee jonge vrouwen zijn aan het sparren in een kickboksgevecht	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Two people are kickboxing and spectators are watching	Two young women are sparring in a kickboxing fight	FLICKR	FLICKR	TEST
47	Twee mensen zijn aan het kickboksen en toeschouwers kijken toe	Twee jonge vrouwen zijn niet aan het sparren in een kickboksgevecht	NEUTRAL	3.415	A_neutral_B	B_neutral_A	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	FLICKR	FLICKR	TRAIN
48	Twee vrouwen zijn aan het sparren in een kickbokswedstrijd	Twee mensen zijn aan het vechten en toeschouwers kijken toe	NEUTRAL	3.7	A_neutral_B	B_neutral_A	Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching	FLICKR	FLICKR	TEST
49	Twee vrouwen zijn aan het sparren in een kickbokswedstrijd	Twee mensen zijn aan het kickboksen en toeschouwers kijken niet	NEUTRAL	3.7	A_neutral_B	B_neutral_A	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	FLICKR	FLICKR	TRAIN
50	Twee toeschouwers zijn aan het kickboksen en sommige mensen kijken toe	Twee vrouwen zijn aan het sparren in een kickbokswedstrijd	NEUTRAL	3.6	A_neutral_B	B_neutral_A	Two spectators are kickboxing and some people are watching	Two women are sparring in a kickboxing match	FLICKR	FLICKR	TEST
51	Twee mensen zijn aan het kickboksen en toeschouwers kijken toe	Twee vrouwen zijn aan het sparren in een kickbokswedstrijd	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Two people are kickboxing and spectators are watching	Two women are sparring in a kickboxing match	FLICKR	FLICKR	TEST
52	Koters in rode shirts spelen in de bladeren	Kinderen in rode shirts spelen in de bladeren	ENTAILMENT	4.9	A_entails_B	B_entails_A	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	FLICKR	FLICKR	TEST
53	Kinderen in rode shirts spelen in de bladeren	Kinderen in rode shirts slapen in de bladeren	NEUTRAL	4	A_neutral_B	B_contradicts_A	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	FLICKR	FLICKR	TEST
54	Kinderen in rode shirts spelen in de bladeren	Kinderen die bedekt zijn met bladeren spelen met rode shirts	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Children in red shirts are playing in the leaves	Children covered by leaves are playing with red shirts	FLICKR	FLICKR	TEST
55	Drie jongens springen in de bladeren	Drie kinderen springen in de bladeren	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Three boys are jumping in the leaves	Three kids are jumping in the leaves	FLICKR	FLICKR	TRAIN
56	Drie kinderen zitten in de bladeren	Drie kinderen springen in de bladeren	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	Three kids are sitting in the leaves	Three kids are jumping in the leaves	FLICKR	FLICKR	TRAIN
57	Drie jongens springen in de bladeren	Kinderen in rode shirts spelen in de bladeren	NEUTRAL	4.1	A_neutral_B	B_neutral_A	Three boys are jumping in the leaves	Children in red shirts are playing in the leaves	FLICKR	FLICKR	TEST
58	Kinderen in rode shirts spelen in de bladeren	Drie kinderen zitten in de bladeren	NEUTRAL	3.5	A_neutral_B	B_neutral_A	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	FLICKR	FLICKR	TRAIN
59	Koters in rode shirts spelen in de bladeren	Drie kinderen springen in de bladeren	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Kids in red shirts are playing in the leaves	Three kids are jumping in the leaves	FLICKR	FLICKR	TEST
60	Kinderen in rode shirts slapen in de bladeren	Drie kinderen springen in de bladeren	NEUTRAL	3.1	A_neutral_B	B_neutral_A	Children in red shirts are sleeping in the leaves	Three kids are jumping in the leaves	FLICKR	FLICKR	TEST
61	Kinderen die bedekt zijn met bladeren spelen met rode shirts	Drie kinderen springen in de bladeren	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Children covered by leaves are playing with red shirts	Three kids are jumping in the leaves	FLICKR	FLICKR	TEST
62	Kinderen in rode shirts spelen in de bladeren	Drie kinderen springen in de bladeren	NEUTRAL	4	A_neutral_B	B_neutral_A	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	FLICKR	FLICKR	TRAIN
63	Twee kinderen liggen in de sneeuw en tekenen engelen	Twee kinderen liggen in de sneeuw en maken sneeuwengelen	ENTAILMENT	4.4	A_entails_B	B_neutral_A	Two children are lying in the snow and are drawing angels	Two children are lying in the snow and are making snow angels	FLICKR	FLICKR	TEST
64	Twee kinderen liggen in de sneeuw en maken sneeuwengelen	Er is geen kind dat in de sneeuw ligt en sneeuwengelen maakt	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	Two children are lying in the snow and are making snow angels	There is no child lying in the snow and making snow angels	FLICKR	FLICKR	TEST
65	Twee engelen maken sneeuw op de liggende kinderen	Twee kinderen liggen in de sneeuw en maken sneeuwengelen	NEUTRAL	2.9	A_neutral_B	B_neutral_A	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels	FLICKR	FLICKR	TRAIN
66	Twee mensen die sneeuwpakken dragen liggen op de grond en maken sneeuwengelen	Twee mensen in sneeuwpakken liggen in de sneeuw en maken sneeuwengelen	ENTAILMENT	4.8	A_entails_B	B_entails_A	Two people wearing snowsuits are on the ground making snow angels	Two people in snowsuits are lying in the snow and making snow angels	FLICKR	FLICKR	TEST
67	Twee mensen in sneeuwpakken liggen in de sneeuw en maken sneeuwengelen	Niemand in sneeuwpakken ligt in de sneeuw en maakt sneeuwengelen	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	FLICKR	FLICKR	TEST
68	Twee kinderen liggen in de sneeuw en maken sneeuwengelen	Twee mensen die sneeuwpakken dragen liggen op de grond en maken sneeuwengelen	NEUTRAL	4.6	A_neutral_B	B_neutral_A	Two children are lying in the snow and are making snow angels	Two people wearing snowsuits are on the ground making snow angels	FLICKR	FLICKR	TEST
69	Twee kinderen liggen in de sneeuw en maken sneeuwengelen	Niemand in sneeuwpakken ligt in de sneeuw en maakt sneeuwengelen	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	Two children are lying in the snow and are making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	FLICKR	FLICKR	TEST
70	Twee kinderen liggen in de sneeuw en tekenen engelen	Twee mensen in sneeuwpakken liggen in de sneeuw en maken sneeuwengelen	NEUTRAL	4.1	A_neutral_B	B_neutral_A	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels	FLICKR	FLICKR	TRAIN
71	Er is geen kind dat in de sneeuw ligt en sneeuwengelen maakt	Twee mensen in sneeuwpakken liggen in de sneeuw en maken sneeuwengelen	NEUTRAL	3.3	A_neutral_B	B_neutral_A	There is no child lying in the snow and making snow angels	Two people in snowsuits are lying in the snow and making snow angels	FLICKR	FLICKR	TEST
72	Twee mensen in sneeuwpakken liggen in de sneeuw en maken sneeuwengelen	Twee engelen maken sneeuw op de liggende kinderen	NEUTRAL	2.5	A_neutral_B	B_neutral_A	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	FLICKR	FLICKR	TRAIN
73	Twee kinderen liggen in de sneeuw en maken sneeuwengelen	Twee mensen in sneeuwpakken liggen in de sneeuw en maken sneeuwengelen	NEUTRAL	4.2	A_neutral_B	B_neutral_A	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	FLICKR	FLICKR	TRAIN
74	Een klein meisje kijkt naar een vrouw in kostuum	Een jong meisje kijkt naar een vrouw in kostuum	ENTAILMENT	4.7	A_entails_B	B_entails_A	A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	FLICKR	FLICKR	TEST
75	Een klein meisje kijkt naar een vrouw in kostuum	Het kleine meisje kijkt naar een man in kostuum	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	A little girl is looking at a woman in costume	The little girl is looking at a man in costume	FLICKR	FLICKR	TEST
76	Een klein meisje kijkt naar een vrouw in kostuum	Een klein meisje in kostuum lijkt op een vrouw	NEUTRAL	2.9	A_neutral_B	B_neutral_A	A little girl is looking at a woman in costume	A little girl in costume looks like a woman	FLICKR	FLICKR	TEST
77	Mensen in kostuums verzamelen in een bos en kijken in dezelfde richting	Gemaskerde mensen kijken in dezelfde richting in een bos	ENTAILMENT	4.4	A_entails_B	B_neutral_A	People wearing costumes are gathering in a forest and are looking in the same direction	Masked people are looking in the same direction in a forest	FLICKR	FLICKR	TRAIN
78	Mensen in kostuums verzamelen in een bos en kijken in dezelfde richting	Mensen die kostuums dragen verspreiden zich in een bos en kijken in verschillende richtingen	NEUTRAL	3.2	A_neutral_B	B_contradicts_A	People wearing costumes are gathering in a forest and are looking in the same direction	People wearing costumes are scattering in a forest and are looking in different directions	FLICKR	FLICKR	TRAIN
79	Mensen kijken naar enkele kostuums die in de buurt van het bos zijn verzameld	Mensen in kostuums verzamelen in een bos en kijken in dezelfde richting	NEUTRAL	3.635	A_neutral_B	B_neutral_A	People are looking at some costumes gathered in the vicinity of the forest	People wearing costumes are gathering in a forest and are looking in the same direction	FLICKR	FLICKR	TRAIN
80	Gemaskerde mensen kijken in dezelfde richting in een bos	Een klein meisje kijkt naar een vrouw in kostuum	NEUTRAL	1.3	A_neutral_B	B_neutral_A	Masked people are looking in the same direction in a forest	A little girl is looking at a woman in costume	FLICKR	FLICKR	TEST
81	Een klein meisje kijkt naar een vrouw in kostuum	Mensen die kostuums dragen verspreiden zich in een bos en kijken in verschillende richtingen	NEUTRAL	2.4	A_neutral_B	B_neutral_A	A little girl is looking at a woman in costume	People wearing costumes are scattering in a forest and are looking in different directions	FLICKR	FLICKR	TRAIN
82	Een klein meisje kijkt naar een vrouw in kostuum	Mensen kijken naar enkele kostuums die in de buurt van het bos zijn verzameld	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A little girl is looking at a woman in costume	People are looking at some costumes gathered in the vicinity of the forest	FLICKR	FLICKR	TRAIN
83	Een jong meisje kijkt naar een vrouw in kostuum	Mensen in kostuums verzamelen in een bos en kijken in dezelfde richting	NEUTRAL	2.2	A_neutral_B	B_neutral_A	A young girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	FLICKR	FLICKR	TRAIN
84	Mensen in kostuums verzamelen in een bos en kijken in dezelfde richting	Het kleine meisje kijkt naar een man in kostuum	NEUTRAL	3	A_neutral_B	B_neutral_A	People wearing costumes are gathering in a forest and are looking in the same direction	The little girl is looking at a man in costume	FLICKR	FLICKR	TRAIN
85	Mensen in kostuums verzamelen in een bos en kijken in dezelfde richting	Een klein meisje in kostuum lijkt op een vrouw	NEUTRAL	2	A_neutral_B	B_neutral_A	People wearing costumes are gathering in a forest and are looking in the same direction	A little girl in costume looks like a woman	FLICKR	FLICKR	TRAIN
86	Een klein meisje kijkt naar een vrouw in kostuum	Mensen in kostuums verzamelen in een bos en kijken in dezelfde richting	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A little girl is looking at a woman in costume	People wearing costumes are gathering in a forest and are looking in the same direction	FLICKR	FLICKR	TEST
87	Een eenzame motorrijder springt in de lucht	Een motorrijder springt in de lucht, alleen	ENTAILMENT	5	A_entails_B	B_entails_A	A lone biker is jumping in the air	A biker is jumping in the air, alone	FLICKR	FLICKR	TRAIN
88	Er is geen motorrijder die in de lucht springt	Een eenzame motorrijder springt in de lucht	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	There is no biker jumping in the air	A lone biker is jumping in the air	FLICKR	FLICKR	TRAIN
89	Een man springt in een leeg zwembad	Een man springt in een leeg bad	ENTAILMENT	4.8	A_entails_B	B_neutral_A	A man is jumping into an empty swimming pool	A man is jumping into an empty pool	FLICKR	FLICKR	TEST
90	Een man springt in een leeg bad	Een man springt in een vol zwembad	CONTRADICTION	3	A_contradicts_B	B_contradicts_A	A man is jumping into an empty pool	A man is jumping into a full pool	FLICKR	FLICKR	TRAIN
91	Een man springt in een leeg bad	De trui van de man ligt in het lege zwembad	NEUTRAL	3.1	A_neutral_B	B_neutral_A	A man is jumping into an empty pool	The man's jumper is in the empty pool	FLICKR	FLICKR	TRAIN
92	Een eenzame motorrijder springt in de lucht	Een man springt in een leeg zwembad	NEUTRAL	1.6	A_neutral_B	B_neutral_A	A lone biker is jumping in the air	A man is jumping into an empty swimming pool	FLICKR	FLICKR	TEST
93	Een eenzame motorrijder springt in de lucht	Een man springt in een vol zwembad	NEUTRAL	1.7	A_neutral_B	B_neutral_A	A lone biker is jumping in the air	A man is jumping into a full pool	FLICKR	FLICKR	TRAIN
94	De trui van de man ligt in het lege zwembad	Een eenzame motorrijder springt in de lucht	NEUTRAL	1.4	A_neutral_B	B_neutral_A	The man's jumper is in the empty pool	A lone biker is jumping in the air	FLICKR	FLICKR	TRAIN
95	Een man springt in een leeg bad	Een motorrijder springt in de lucht, alleen	NEUTRAL	1.6	A_neutral_B	B_neutral_A	A man is jumping into an empty pool	A biker is jumping in the air, alone	FLICKR	FLICKR	TEST
96	Een man springt in een leeg bad	Er is geen motorrijder die in de lucht springt	NEUTRAL	1.2	A_neutral_B	B_neutral_A	A man is jumping into an empty pool	There is no biker jumping in the air	FLICKR	FLICKR	TEST
97	Een eenzame motorrijder springt in de lucht	Een man springt in een leeg bad	NEUTRAL	1.5	A_neutral_B	B_neutral_A	A lone biker is jumping in the air	A man is jumping into an empty pool	FLICKR	FLICKR	TRAIN
98	Vier koters doen backbends in het park	Vier kinderen doen backbends in het park	ENTAILMENT	4.8	A_entails_B	B_entails_A	Four kids are doing backbends in the park	Four children are doing backbends in the park	FLICKR	FLICKR	TRAIN
99	Vier kinderen doen backbends in de sportschool	Vier kinderen doen backbends in het park	NEUTRAL	3.8	A_neutral_B	B_neutral_A	Four children are doing backbends in the gym	Four children are doing backbends in the park	FLICKR	FLICKR	TRAIN
100	Vier meisjes doen backbends en spelen in de tuin	Vier meisjes doen backbends en spelen buiten	ENTAILMENT	4.1	A_entails_B	B_neutral_A	Four girls are doing backbends and playing in the garden	Four girls are doing backbends and playing outdoors	FLICKR	FLICKR	TRAIN
101	Vier meisjes doen backbends en spelen buiten	Vier meisjes doen backbends en spelen binnen	NEUTRAL	4	A_neutral_B	B_neutral_A	Four girls are doing backbends and playing outdoors	Four girls are doing backbends and playing indoors	FLICKR	FLICKR	TEST
102	Vier meisjes doen backbends en spelen in de tuin	Vier kinderen doen backbends in het park	NEUTRAL	3.7	A_neutral_B	B_neutral_A	Four girls are doing backbends and playing in the garden	Four children are doing backbends in the park	FLICKR	FLICKR	TEST
103	Vier meisjes doen backbends en spelen binnen	Vier kinderen doen backbends in het park	NEUTRAL	3.7	A_contradicts_B	B_neutral_A	Four girls are doing backbends and playing indoors	Four children are doing backbends in the park	FLICKR	FLICKR	TEST
